filename,caption,paraphrased,negation
000000314294.jpg,An elephant standing in a shaded clearing in a wooded area.,A shaded clearing in a wooded area features an elephant standing in it.,An elephant lying in a shaded clearing in a wooded area.
000000183648.jpg,three people standing by an elephant behind a fence,Three individuals are positioned near an elephant that is situated behind a fence.,Three people sitting by an elephant behind a fence.
000000370042.jpg,Large assortment of small and large vases displayed outdoors.,A diverse array of small and large vases are exhibited outside.,Large assortment of small and large vases stored indoors.
000000052017.jpg,A yellow and blue plane flying in a gray sky.,"In the gray sky, flies the yellow and blue plane.",A yellow and blue plant swaying in a gray sky.
000000212559.jpg,a close up of sheep on hay ground indoors,"Within the ground indoors, a close-up of sheep on hay.",A close up of sheep next to hay on the indoor ground.
000000186873.jpg,Large canoe with many people on lake with trees lining shore.,many people in a large canoe on a lake while trees along the shore line up.,Large canoe without any people on lake with trees lining shore.
000000312278.jpg,A collection of luggage that has been placed on a wooden carrier.,The wooden carrier holds a collection of luggage.,A collection of luggage that has been stacked up on a wooden carrier.
000000253742.jpg,Several people holding umbrellas and standing next to deer.,many individuals are holding umbrellas while standing next to deer.,Several people holding umbrellas and standing far from deer.
000000464786.jpg,Hot dog with mustard on it sitting on a white napkin.,A hot dog with mustard is placed on a white napkin.,A hot dog with mustard on it is standing on a white napkin.
000000113235.jpg,A hand is holding a carrot for a llama to chew.,The carrot is being held by a hand for the llama to chew.,A hand is dropping a carrot for a llama to chew.
000000033707.jpg,Two large giraffes inside a fenced area stand together near many rocks,"Two large giraffes are standing together inside a fenced area, surrounded by many rocks.",Two large giraffes inside a fenced area stand together far from many rocks.
000000507223.jpg,A group of baseball players standing next to each other on top of a field.,A cluster of baseball players are standing beside each other on a field.,A group of baseball players far from each other on top of a field.
000000185250.jpg,"Frisbee in the air, a dog squatting looking up at it, and a person standing behind the dog watching it, on the grass with a tree.","The person is standing behind the dog as it watches the Frisbee in mid-air, on the grass with a nearby tree.","Frisbee in the air, a dog jumping and looking up at it, and a person standing behind the dog watching it, on the grass with a tree."
000000016958.jpg,a living room with a fireplace and a table and chair.,"A fireplace, a table, and a chair in the living room",A living room without a fireplace and only a table and chair.
000000008690.jpg,Two kids pet a goat that is in a pen.,The goat is in a pen and is being petted by two kids.,Two kids watch a goat that is in a pen.
000000579307.jpg,Man and son standing on the beach side with a self assembled kite.,"On the beachside, stands a man and his son with a self-assembled kite.",A person and his son are running along the beach side with a self assembled kite.
000000458755.jpg,A child places his hands on the head and neck of a sheep while another sheep looks at his face.,The head and neck of a sheep are touched by a child while his face is looked at by another sheep.,A child places his hands on the head and neck of a sheep while another sheep shies away from his face.
000000224807.jpg,The large crowd has gathered and is eating.,"A gathering has been formed by the large crowd, and food is being eaten by them.",The large crowd has dispersed and is eating.
000000084477.jpg,A beach chair and an umbrella in the sand on the beach.,"In the sand on a beach, a beach chair and an umbrella.",A beach chair and umbrella beside the sand on the beach.
000000118367.jpg,A hand holding a hot dog on a bun in a  wrapper.,"A hot dog on a bun, held in a wrapper by a hand.",A hand holding a hot dog on a bun without a wrapper.
000000360661.jpg,three people riding horses on a beach,Three individuals are seated on equines while lounging on a sandy shore.,Three people walking their horses on a beach.
000000142092.jpg,A pizza with vegetables and cheese resting on a board.,A board supports a pizza bearing vegetables and cheese.,A pizza with vegetables and cheese hanging off a board.
000000434230.jpg,A view of a bunch of pottery at a very old store.,A picture of a collection of pottery in an ancient store.,A view of a bunch of pottery beside a very old store.
000000399462.jpg,A little child is running with their kite in an open field.,"In an open field, runs a little child with their kite. ",A little child is flying their kite in an open field.
000000368294.jpg,A person wearing a pink hair towel working in a factory.,A person is working in the factory with a pink hair towel.,A person not wearing a pink hair towel is relaxing outside the factory.
000000300842.jpg,The foot of a person on a skateboard is prominent in this photo.,The photograph prominently features the foot of a person on a skateboard.,The foot of a person next to a skateboard is prominent in this photo.
000000372577.jpg,A person in shorts and a long sleeve shirt playing tennis.,An individual wearing shorts and a long-sleeve shirt is playing tennis.,A person in shorts and a long sleeve shirt is watching a tennis game.
000000398237.jpg,A baby is holding some poles in the middle of a grass field.,The baby holds some poles in the mid of a grassy field.,A baby is dropping some poles in the middle of a grass field.
